VC_ID	GSO_ID	Name	Type	Location	address	Location notes	Cities	LocZIP	DayName	Time
CM28		Living Sober	[H]	Central Office	 321 North Avaidor Street	 Suite 115	Camarillo	93010	Wednesday	6:30 PM
CM31	[637345][93][12]	Puttin' Sober Oxnard		The Buck	 321 North Aviador St 101		Camarillo	93010	Sunday	8:30 AM
CM33		Easy Riders AA Group		Villa Calleguas Community Room	  1742 S. Lewis Rd		Camarillo	93012	Friday	1:00 PM
CM-40		Happy Hour Group		The Buck	 321 North Aviador St 101		Camarillo	93010	Every day	5:30 PM
CM40A	[125601][93][12]	Donut Meeting		The Buck	 321 North Aviador St 101		Camarillo	93010	Sunday	10:30 AM
CM40B	[125601][93][12]	5:30 Happy Hour		The Buck	 321 North Aviador St 101		Camarillo	93010	Sunday	5:30 PM
CM40C	[125601][93][12]	Candlelight		The Buck	 321 North Aviador St 101		Camarillo	93010	Sunday	8:30 PM
CM40D	[125601][93][12]	Nooner at The Buck		The Buck	 321 North Aviador St 101		Camarillo	93010	Monday	12:00 PM
CM40E	[125601][93][12]	5:30 Happy Hour		The Buck	 321 North Aviador St 101		Camarillo	93010	Monday	5:30 PM
CM40G	[125601][93][12]	Nooner at The Buck		The Buck	 321 North Aviador St 101		Camarillo	93010	Tuesday	12:00 PM
CM40H	[125601][93][12]	5:30 Happy Hour		The Buck	 321 North Aviador St 101		Camarillo	93010	Tuesday	5:30 PM
CM40I	[125601][93][12]	Big Book Step Study		The Buck	 321 North Aviador St 101		Camarillo	93010	Tuesday	7:30 PM
CM40J	[125601][93][12]	Nooner at The Buck		The Buck	 321 North Aviador St 101		Camarillo	93010	Wednesday	12:00 PM
CM40K	[125601][93][12]	5:30 Happy Hour		The Buck	 321 North Aviador St 101		Camarillo	93010	Wednesday	5:30 PM
CM40L	[125601][93][12]	Nooner at The Buck		The Buck	 321 North Aviador St 101		Camarillo	93010	Thursday	12:00 PM
CM40M	[125601][93][12]	5:30 Happy Hour		The Buck	 321 North Aviador St 101		Camarillo	93010	Thursday	5:30 PM
CM40N	[125601][93][12]	Saturday Noon Special	[CH][B]	The Buck	 321 North Aviador St 101		Camarillo	93010	Saturday	12:00 PM
CM40O	[125601][93][12]	Candlelight		The Buck	 321 North Aviador St 101		Camarillo	93010	Thursday	8:30 PM
CM40P	[125601][93][12]	Nooner at The Buck		The Buck	 321 North Aviador St 101		Camarillo	93010	Friday	12:00 PM
CM40Q	[125601][93][12]	5:30 Happy Hour		The Buck	 321 North Aviador St 101		Camarillo	93010	Friday	5:30 PM
CM40S	[125601][93][12]	Candelight		The Buck	 321 North Aviador St 101		Camarillo	93010	Friday	8:30 PM
CM40T	[125601][93][12]	5:30 Happy Hour		The Buck	 321 North Aviador St 101		Camarillo	93010	Saturday	5:30 PM
CM40U	[125601][93][12]	8:30 PM Candlelight		The Buck	 321 North Aviador St 101		Camarillo	93010	Saturday	8:30 PM
CM41	[209983][93][12]	Sober Whoopee Party Group		Dos Caminos Plaza	 3639 E Las Posas Rd.	 Bldg. E # 124	Camarillo	93010	Wednesday	7:00 PM
CM42		Burning Desires Speaker Meeting	[CH][B]	Dos Caminos Plaza	 3639 Las Posas	 Building E  Room 115	Camarillo	93010	Sunday	5:00 PM
CM45A		Happy Sunrise		The Buck	 321 North Aviador St 101		Camarillo	93010	Monday	7:00 AM
CM45B		Happy Sunrise		The Buck	 321 North Aviador St 101		Camarillo	93010	Tuesday	7:00 AM
CM45C		Happy Sunrise		The Buck	 321 North Aviador St 101		Camarillo	93010	Wednesday	7:00 AM
CM45D		Happy Sunrise		The Buck	 321 North Aviador St 101		Camarillo	93010	Thursday	7:00 AM
CM45E		Happy Sunrise		The Buck	 321 North Aviador St 101		Camarillo	93010	Friday	7:00 AM
CM46	[717287][93][12]	11th Step Prayer & Meditation		Dos Caminos Plaza	 3639 E Las Posas Rd.	 Bldg. E # 124	Camarillo	93010	Tuesday	7:00 AM
CMYP		Young People of AA Business Meeting		Central Office	 321 North Avaidor Street	 Suite 115	Camarillo	93010	Sunday	12:00 PM
ER02		Women's Speaker	[W]	Babash's Angels	 576 E Collins Street		El Rio	93036	Sunday	7:30 PM
FM05	[692905][93][12]	The Path to Freedom		Trinity Episcopal Church	 600 Saratoga		Fillmore	93015	Thursday	7:00 PM
FM06		How It Work		Trinity Episcopal Church	 600 Saratoga		Fillmore	93015	Tuesday	7:00 PM
MA01		Saturday Night Speaker Mtg	[CC]	Pt. Dume Elementry School	 6955 Fernhill	  in auditorium	Malibu	90265	Saturday	8:00 PM
MA02		Serenity in the Canyon	[C]	Malibu Canyon	 327 S Latigo Cyn Rd		Malibu	90265	Wednesday	7:30 PM
MP02	[633542][93][12]	Book Study	[C]	Community Christian Church	 216 Moorpark Avenue	 downstairs	Moorpark	93021	Tuesday	7:00 PM
MP03	[134543][93][12]	Discussion Group		Community Christian Church	 216 Moorpark Avenue	 downstairs	Moorpark		Wednesday	7:15 PM
MP04		Women Fellowship of the Spirit	[C][H]	Community Christian Church	 216 Moorpark Avenue	 downstairs	Moorpark	93021	Saturday	10:00 AM
MP06	[690181][93][12]	Newcomer Question Answer		Moorpark College	 7075 Campus Rd	 Administration Bldg Room 138	Moorpark	93021	Wednesday	6:00 PM
MP07		Progress Not Perfection	[C]	Community Christian Church	 216 Moorpark Avenue	 downstairs	Moorpark	93021	Friday	6:30 PM
NP01	[101657][93][28]	Wednesday Q & A Group	[CH][B]	King of Glory Lutheran Church	 2500 Borchard Road		Newbury Park	91320	Wednesday	7:30 PM
NP02	[102324][93][28]	Newcomers Living Sober		Calvery Chapel	 2697 Lavery Ct		Newbury Park	91320	Tuesday	7:30 PM
NP03	[143269][93][28]	"""The Smokin' Big Book"""	[SF]	St. Julie Billiart Catholic Church	  2475 Borchard Road		Newbury Park	91320	Wednesday	8:30 PM
NP04	[157460][93][28]	Women In the Solution	[W]	King of Glory Lutheran Church	 2500 Borchard Road		Newbury Park	91320	Monday	7:30 PM
NP06	[603495][93][28]	Staying Alive Discussion	[CH][B]	King of Glory Lutheran Church	 2500 Borchard Road		Newbury Park	91320	Thursday	7:30 PM
NP11	[143331][93][28]	Saturday Women's Promises	[C][W]	St. Matthews Methodist Church	 1360 Wendy Rd		Newbury Park	91320	Saturday	10:00 AM
NP14		Sobrity First Group: Step Study	[CC]	Monte Vista Presbyterian Church	 3797 West Lynn Road		Newbury Park	91320	Saturday	5:00 PM
NP15	[713928][93][28]	Newcomer Question & Answer	[H][CH]	Conejo Valley Unitarian Universalist Fellowship	 3331 Old Conejo Rd		Newbury Park	91320	Sunday	5:00 PM
NP16A	[715598][93][28]	A New Attitude	[C]	Monte Vista Presbyterian Church	 3797 West Lynn Road		Newbury Park	91320	Monday	6:45 AM
NP16B	[715598][93][28]	A New Attitude	[C]	Monte Vista Presbyterian Church	 3797 West Lynn Road		Newbury Park	91320	Wednesday	6:45 AM
NP16C	[715598][93][28]	A New Attitude	[C][CH][B]	Monte Vista Presbyterian Church	 3797 West Lynn Road		Newbury Park	91320	Friday	6:45 AM
NP17		Weekend Warriors Big Book Study		King of Glory Lutheran Church	 2500 Borchard Road		Newbury Park	91320	Saturday	6:00 PM
NP18		Sunrise Woman's Fellowhip	[W]	St. Matthews Methodist Church	 1360 Wendy Rd		Newbury Park	91320	Saturday	10:00 AM
OJ02	[132885][93][13]	The 5 P.M. Ojai Group		Ojai Valley Alano Club	 575 W El Roblar	 Meiners Oaks	Ojai	93023	Weekdays	5:00 PM
OJ02A	[132885][93][13]	The 5 P.M. Ojai Q & A Group		Ojai Valley Alano Club	 575 W El Roblar	 Meiners Oaks	Ojai	93023	Wednesday	5:00 PM
OJ02B	[132885][93][13]	5 P.M. Big Book Stories		Ojai Valley Alano Club	 575 W El Roblar	 Meiners Oaks	Ojai	93023	Thursday	5:00 PM
OJ02C	[132885][93[13]	As Bill See's It		Ojai Valley Alano Club	 575 W El Roblar	 Meiners Oaks	Ojai	93023	Friday	5:00 PM
OJ02D	[132885][93][13]	The 5 P.M. Ojai Discussion Group		Ojai Valley Alano Club	 575 W El Roblar	 Meiners Oaks	Ojai	93023	Tuesday	5:00 PM
OJ02E	[132885][93][13]	Monday 5 PM Big Book Group	[H]	Ojai Valley Alano Club	 575 W El Roblar	 Meiners Oaks	Ojai	93023	Monday	5:00 PM
OJ03	[150162][93][13]	As Bill See's It		Ojai Valley Alano Club	 575 W El Roblar	 Meiners Oaks	Ojai	93023	Saturday	11:00 AM
OJ05	[166465][93][13]	Sunrise Meditation Group		Ojai Valley Alano Club	 575 W El Roblar	 Meiners Oaks	Ojai	93023	Every day	6:00 AM
OJ05A	[166465][93][13]	Sunrise Meditation		Ojai Valley Alano Club	 575 W El Roblar	 Meiners Oaks	Ojai	93023	Sunday	7:00 AM
OJ05B	[166465][93][13]	Sunrise Meditation		Ojai Valley Alano Club	 575 W El Roblar	 Meiners Oaks	Ojai	93023	Wednesday	6:00 AM
OJ05C	[166465][93][13]	Sunrise Meditation	[H]	Ojai Valley Alano Club	 575 W El Roblar	 Meiners Oaks	Ojai	93023	Thursday	6:00 AM
OJ05D	[166465][93][13]	Sunrise Meditation	[H]	Ojai Valley Alano Club	 575 W El Roblar	 Meiners Oaks	Ojai	93023	Friday	6:00 AM
OJ05E	{166465][93[13]	Sunrise Meditation		Ojai Valley Alano Club	 575 W El Roblar	 Meiners Oaks	Ojai	93023	Saturday	7:00 AM
OJ05F	[166465][93][13]	Sunrise Meditation		Ojai Valley Alano Club	 575 W El Roblar	 Meiners Oaks	Ojai	93023	Tuesday	6:00 AM
OJ05G	[166465][93][13]	Sunrise Meditation		Ojai Valley Alano Club	 575 W El Roblar	 Meiners Oaks	Ojai	93023	Monday	6:00 AM
OJ07	[705547][93][13]	Sunday Spiritual Meeting		Ojai Valley Alano Club	 575 W El Roblar	 Meiners Oaks	Ojai	93023	Sunday	10:00 AM
OJ08	[645890][93][13]	Daily Reflections	[W][C]	First Baptist Church of Ojai	  930 Grand Avenue		Ojai	93023	Monday	9:00 AM
OJ12	[169061][93][13]	As Bill See's It	[C]	St. Andrew’s Episcopal Church	  409 Topa Topa Drive		Ojai	93023	Tuesday	7:30 PM
OJ16		Speaker Meeting	[H]	Ojai Valley Alano Club	 575 W El Roblar	 Meiners Oaks	Ojai	93023	Saturday	8:00 PM
OJ20	[170932][93[13]	Sunday Night Candlelight 12 & 12	[H]	Ojai Valley Alano Club	 575 W El Roblar	 Meiners Oaks	Ojai	93023	Sunday	7:00 PM
OJ21		Big Book Study		Ojai Valley Alano Club	 575 W El Roblar	 Meiners Oaks	Ojai	93023	Tuesday	12:00 PM
OJ22	[663768[(93][13]	Wed Noon Steps & Traditions		Ojai Valley Alano Club	 575 W El Roblar	 Meiners Oaks	Ojai	93023	Wednesday	12:00 PM
OJ23		Promises Meeting		Ojai Valley Alano Club	 575 W El Roblar	 Meiners Oaks	Ojai	93023	Friday	12:00 PM
OJ27		Ojai Thursday Night Men's Stag	[C][M]	Private Residence	 83 Crown Street		Ojai	93023	Thursday	7:00 PM
OJ28	[712854][93][13]	Serenity Circle Women's Group	[W][C]	St. Andrew’s Episcopal Church	  409 Topa Topa Drive		Ojai	93023	Thursday	7:30 PM
OJ30		Men's Book Study	[M]	St. Andrew’s Episcopal Church	  409 Topa Topa Drive		Ojai	93023	Monday	7:00 PM
OJ31		Ojai Beginner's Meeting		St. Andrew’s Episcopal Church	  409 Topa Topa Drive		Ojai	93023	Friday	7:30 PM
OJ32		Ojai Into Action Group	[C]	St. Andrew’s Episcopal Church	  409 Topa Topa Drive		Ojai	93023	Saturday	6:00 PM
OJ33		Beyond Belief		St. Andrew’s Episcopal Church	  409 Topa Topa Drive		Ojai	93023	Thursday	12:00 PM
OP15	[713320][93][28]	What It Is Like Now		Episcopal Church of the Epiphany	 5450 Churchwood Dr.		Oak Park	91377	Friday	5:30 PM
OV19	[643661][93][13]	Oak View Promises		Oak View Community Center	 555 Mahoney Ave		Oak View	93022	Wednesday	7:00 PM
OX01	[101741][93][9]	Beach Group		Peninsula Park	 3333 Peninsula Rd	 (bldg at harbors edge 2nd floor)	Oxnard	93035	Tuesday	8:00 PM
OX02	[101745][93][9]	Big Book Study Group		Lutheran Church of Our Redeemer	 721 Doris Ave.		Oxnard	93030	Friday	8:00 PM
OX07	[628459][93][9]	Serenity in the Sand	[CH][B]	Silverstrand Beach	 Parking Lot Corner of Ocean & San Nicolas	 Silverstrand Beach	Oxnard	93035	Sunday	9:00 AM
OX09	[119311][93][9]	Oxnard Women's Group	[W][C][CH][B]	Lutheran Church of Our Redeemer	 721 Doris Ave.		Oxnard	93030	Thursday	7:30 PM
OX10	[124294][93][9]	We Care Today	[C]	Oxnard Alano Club	  620 South D Street	 upstairs  486-3356	Oxnard	93030	Mon thru Sat	10:00 AM
OX100		"""In Memory of H.R.A.C."""		Salvation Army Worship Center	 622 W. Wooley Rd.		Oxnard	93033	Thursday	5:30 PM
OX103		Sisters in Recovery	[W]	Oxnard Alano Club	  620 South D Street	 upstairs  486-3356	Oxnard	93030	Tuesday	7:30 PM
OX109		Noon at the Park		Peninsula Park	 3333 Peninsula Rd	 (bldg at harbors edge 2nd floor)	Oxnard	93035	Monday	12:00 PM
OX10A	[124294][93][9]	We Care Today	[C]	Oxnard Alano Club	  620 South D Street	 upstairs  486-3356	Oxnard	93030	Wednesday	10:00 AM
OX10B	[124294][93][19]	We Care Today	[C]	Oxnard Alano Club	  620 South D Street	 upstairs  486-3356	Oxnard	93030	Thursday	10:00 AM
OX10C	[124294][93][9]	We Care Today		Oxnard Alano Club	  620 South D Street	 upstairs  486-3356	Oxnard	93030	Friday	10:00 AM
OX10E	[124294][93][9]	We Care Today	[C]	Oxnard Alano Club	  620 South D Street	 upstairs  486-3356	Oxnard	93030	Tuesday	10:00 AM
OX10F	[124294][93][9]	We Care Today		Oxnard Alano Club	  620 South D Street	 upstairs  486-3356	Oxnard	93030	Monday	10:00 AM
OX10G	[124294][93][9]	As Bill See's It	(C)	Oxnard Alano Club	  620 South D Street	 upstairs  486-3356	Oxnard	93030	Saturday	10:00 AM
OX111		The Next Step	[C]	Center for Spiritual Living	 138 S A Street		Oxnard	93030	Monday	7:00 PM
OX120		Noon at the Park		Peninsula Park	 3333 Peninsula Rd	 (bldg at harbors edge 2nd floor)	Oxnard	93035	Thursday	12:00 PM
OX121		Tuesday Noon at the Park		Peninsula Park	 3333 Peninsula Rd	 (bldg at harbors edge 2nd floor)	Oxnard	93036	Tuesday	12:00 PM
OX125		Water's Edge 12x12 Study		Peninsula Park	 3333 Peninsula Rd	 (bldg at harbors edge 2nd floor)	Oxnard	93036	Monday	7:00 PM
OX126	[712498][93][9]	Ring of Fire		Private Residence	 460 South F Street	 (at 5th St)	Oxnard	93030	Sunday	7:00 PM
OX13	[128971][93][9]	Into Action Fellowship (Speaker)		Community Bible Mission Chuch	 1500 Mariner Dr	 Unit L	Oxnard	93033	Saturday	8:00 PM
OX130		12 Step Book Study		Office Space	 601 Del Norte	 Suite I	Oxnard	93030	Wednesday	7:00 PM
OX14	[146971][93][9]	Sunrise Sobriety		Oxnard Alano Club	  620 South D Street	 upstairs  486-3356	Oxnard	93030	Every day	7:00 AM
OX141		Campfire Meeting		Private Residence	 2310 Saviers Rd		Oxnard	93030	Sunday	7:30 PM
OX142		Fireside Meeting	[CH][B]	Private Residence	 684 Deodar Ave	 Enter Though Side Gate	Oxnard	93030	Friday	8:00 PM
OX14A	[146971][93][9]	Sunrise Sobriety		Oxnard Alano Club	  620 South D Street	 upstairs  486-3356	Oxnard	93030	Sunday	7:00 AM
OX14B	[146971][93][9]	Sunrise Sobriety Book Study		Oxnard Alano Club	  620 South D Street	 upstairs  486-3356	Oxnard	93030	Wednesday	7:00 AM
OX14C	[146971][93][9]	Sunrise Sobriety		Oxnard Alano Club	  620 South D Street	 upstairs  486-3356	Oxnard	93030	Thursday	7:00 AM
OX14D		Sunrise Sobriety		Oxnard Alano Club	  620 South D Street	 upstairs  486-3356	Oxnard	93030	Friday	7:00 AM
OX14E	[146971][93][9]	Sunrise Sobriety		Oxnard Alano Club	  620 South D Street	 upstairs  486-3356	Oxnard	93030	Saturday	7:00 AM
OX14F	[146971][93][9]	Sunrise Sobriety		Oxnard Alano Club	  620 South D Street	 upstairs  486-3356	Oxnard	93030	Tuesday	7:00 AM
OX14G	[146971][93][9]	Sunrise Sobriety 12 & 12		Oxnard Alano Club	  620 South D Street	 upstairs  486-3356	Oxnard	93030	Monday	7:00 AM
OX15	[135832][93][9]	Men's Stag	[M]	Peninsula Park	 3333 Peninsula Rd	 (bldg at harbors edge 2nd floor)	Oxnard	93035	Thursday	8:00 PM
OX16	[163833][93][9]	The Pier Group		Peninsula Park	 3333 Peninsula Rd	 (bldg at harbors edge 2nd floor)	Oxnard	93035	Friday	8:00 PM
OX17	[101751][93][9]	Breakfast Meeting (Discussion)		Oxnard Alano Club	  620 South D Street	 upstairs  486-3356	Oxnard	93030	Sunday	10:30 AM
OX18	[166167][93][9]	The First 164 and More Group		Oxnard Alano Club	  620 South D Street	 upstairs  486-3356	Oxnard	93030	Friday	7:30 PM
OX19	[169179][93][9]	Serenity by the Sea		Peninsula Park	 3333 Peninsula Rd	 (bldg at harbors edge 2nd floor)	Oxnard	93035	Saturday	12:00 PM
OX20	[173349][93][9]	High Nooners Group		Oxnard Alano Club	  620 South D Street	 upstairs  486-3356	Oxnard	93030	Various	12:00 PM
OX20A	[173349][93][9]	High Nooners		Oxnard Alano Club	  620 South D Street	 upstairs  486-3356	Oxnard	93030	Wednesday	12:00 PM
OX20B	[173349][93][9]	High Nooners		Oxnard Alano Club	  620 South D Street	 upstairs  486-3356	Oxnard	93030	Thursday	12:00 PM
OX20C	[173349][93][9]	Daily Reflections		Oxnard Alano Club	  620 South D Street	 upstairs  486-3356	Oxnard	93030	Friday	12:00 PM
OX20D	[173349][93][9]	High Nooners		Oxnard Alano Club	  620 South D Street	 upstairs  486-3356	Oxnard	93030	Monday	12:00 PM
OX20E	[173349][93][9]	High Nooners		Oxnard Alano Club	  620 South D Street	 upstairs  486-3356	Oxnard	93030	Tuesday	12:00 PM
OX20F	[173349][93][9]	High Nooner		Oxnard Alano Club	  620 South D Street	 upstairs  486-3356	Oxnard	93030	Sunday	12:00 PM
OX22	[617771][93][9]	Candlelight Discussion	[C]	Peninsula Park	 3333 Peninsula Rd	 (bldg at harbors edge 2nd floor)	Oxnard	93035	Wednesday	8:00 PM
OX23	[125597][93][9]	Monday Night Discussion		Peninsula Park	 3333 Peninsula Rd	 (bldg at harbors edge 2nd floor)	Oxnard	93035	Monday	5:30 PM
OX31	[639887][93][9]	Out of the Fog Meeting	[C]	Peninsula Park	 3333 Peninsula Rd	 (bldg at harbors edge 2nd floor)	Oxnard	93035	Tuesday	5:30 PM
OX32		Miracles Happen/Big Book Study		Oxnard Alano Club	  620 South D Street	 upstairs  486-3356	Oxnard	93030	Tuesday	6:00 PM
OX36	[662985][93][9]	Marina Eleventh Step		Peninsula Park	 3333 Peninsula Rd	 (bldg at harbors edge 2nd floor)	Oxnard	93035	Saturday	8:00 AM
OX36A	[662985][93][9]	Marina Discussion		Peninsula Park	 3333 Peninsula Rd	 (bldg at harbors edge 2nd floor)	Oxnard	93035	Monday	7:00 AM
OX36B	[662985][93][9]	Marina Step Study		Peninsula Park	 3333 Peninsula Rd	 (bldg at harbors edge 2nd floor)	Oxnard	93035	Tuesday	7:00 AM
OX36C	[662985][93][9]	Marina Discussion		Peninsula Park	 3333 Peninsula Rd	 (bldg at harbors edge 2nd floor)	Oxnard	93035	Wednesday	7:00 AM
OX36D	[662985][93][9]	As Bill See's It		Peninsula Park	 3333 Peninsula Rd	 (bldg at harbors edge 2nd floor)	Oxnard	93035	Thursday	7:00 AM
OX36E	[662985][93][9]	Marina Big Book Study		Peninsula Park	 3333 Peninsula Rd	 (bldg at harbors edge 2nd floor)	Oxnard	93035	Friday	7:00 AM
OX37		Miracles Happen		Oxnard Alano Club	  620 South D Street	 upstairs  486-3356	Oxnard	93030	Monday	6:00 PM
OX38	[639889][93][9]	Sunday Nite Speaker Disc		Peninsula Park	 3333 Peninsula Rd	 (bldg at harbors edge 2nd floor)	Oxnard	93035	Sunday	7:30 PM
OX42	[643658][93][9]	Sunset at the Harbor		Peninsula Park	 3333 Peninsula Rd	 (bldg at harbors edge 2nd floor)	Oxnard	93035	Friday	5:30 PM
OX43		Miracles Happen		Oxnard Alano Club	  620 South D Street	 upstairs  486-3356	Oxnard	93030	Friday	6:00 PM
OX45		Noon at the Park		Peninsula Park	 3333 Peninsula Rd	 (bldg at harbors edge 2nd floor)	Oxnard	93035	Wednesday	12:00 PM
OX48		Miracles Happen		Oxnard Alano Club	  620 South D Street	 upstairs  486-3356	Oxnard	93030	Sunday	6:00 PM
OX49		"""Snap Out of It """		Oxnard Alano Club	  620 South D Street	 upstairs  486-3356	Oxnard	93030	Saturday	6:00 PM
OX53		"It Works, It Really Does"	[C]	Peninsula Park	 3333 Peninsula Rd	 (bldg at harbors edge 2nd floor)	Oxnard	93035	Thursday	5:30 PM
OX54		Miracles Happen	[B][CH]	Oxnard Alano Club	  620 South D Street	 upstairs  486-3356	Oxnard	93030	Thursday	6:00 PM
OX59		3 Legacies Disc Meeting	[C]	Peninsula Park	 3333 Peninsula Rd	 (bldg at harbors edge 2nd floor)	Oxnard	93035	Wednesday	5:30 PM
OX60		12 & 12 Study		Oxnard Alano Club	  620 South D Street	 upstairs  486-3356	Oxnard	93030	Wednesday	6:00 PM
OX65	[625224][93][9]	Women's Meeting	[W]	Peninsula Park	 3333 Peninsula Rd	 (bldg at harbors edge 2nd floor)	Oxnard	93035	Sunday	10:30 AM
OX70		Saturday Night Discussion		Peninsula Park	 3333 Peninsula Rd	 (bldg at harbors edge 2nd floor)	Oxnard	93035	Saturday	8:00 PM
OX79		Language of the Heart Big Bk Study		Peninsula Park	 3333 Peninsula Rd	 (bldg at harbors edge 2nd floor)	Oxnard	93035	Sunday	5:30 PM
OX80		Big Book Study		Peninsula Park	 3333 Peninsula Rd	 (bldg at harbors edge 2nd floor)	Oxnard	93035	Saturday	5:30 PM
